токен	TF	IDF	TF-IDF
добавь	0.000277	0.116534	0.000032
доброфлот	0.000277	0.127833	0.000035
доверяешь	0.000277	0.116534	0.000032
довольно	0.000277	1.609438	0.000445
долго	0.000553	1.514128	0.000837
дом	0.002489	0.040822	0.000102
дома	0.000553	0.994252	0.000550
домашнее	0.000830	0.040822	0.000034
домашние	0.000553	0.040822	0.000023
домашний	0.001383	0.116534	0.000161
домашняя	0.000553	0.105361	0.000058
домов	0.000277	0.040822	0.000011
домохозяек	0.000277	2.407946	0.000666
дополнение	0.000277	2.659260	0.000735
дорогие	0.000553	1.272966	0.000704
дорогу	0.000277	2.995732	0.000828
достоинства	0.000277	2.302585	0.000637
доченька	0.000277	4.605170	0.001274
дочка	0.000277	3.912023	0.001082
драйв	0.001383	0.127833	0.000177
дрожжевого	0.000277	2.407946	0.000666
дрожжевое	0.000277	0.116534	0.000032
дрожжевым	0.000277	4.605170	0.001274
дрожжи	0.001659	0.941609	0.001562
другими	0.000277	0.040822	0.000011
других	0.000277	1.714798	0.000474
другому	0.000277	2.407946	0.000666
думала	0.000277	1.272966	0.000352
духовка	0.001106	0.127833	0.000141
души	0.000830	0.105361	0.000087
еврейская	0.000277	0.116534	0.000032
египетская	0.000277	0.116534	0.000032
единый	0.000277	0.040822	0.000011
ежегодно	0.000277	2.407946	0.000666
еко	0.000277	0.127833	0.000035
жаркое	0.000553	0.040822	0.000023
желаемые	0.000277	1.469676	0.000406
желания	0.000277	2.302585	0.000637
желающий	0.000277	4.605170	0.001274
желе	0.000830	0.040822	0.000034
желток	0.000553	1.272966	0.000704
женская	0.000277	0.127833	0.000035
женском	0.000277	0.061875	0.000017
женщины	0.000553	0.116534	0.000064
живет	0.000277	3.912023	0.001082
жизни	0.000277	0.040822	0.000011
жизнь	0.000277	0.116534	0.000032
жульен	0.000277	0.040822	0.000011
журнала	0.000277	0.127833	0.000035
жюльен	0.000277	0.040822	0.000011
заварного	0.000277	2.525729	0.000698
заварное	0.000277	0.116534	0.000032
заварной	0.000277	0.116534	0.000032
зависит	0.000277	2.120264	0.000586
завтрак	0.001936	0.094311	0.000183
завтраки	0.000277	0.127833	0.000035
заготовки	0.001106	0.040822	0.000045
задавать	0.000277	0.040822	0.000011
задаю	0.000277	3.218876	0.000890
заинтриговала	0.000277	3.506558	0.000970
зайца	0.000553	0.116534	0.000064
закваска	0.000277	0.040822	0.000011
заквасками	0.000277	0.116534	0.000032
заквасок	0.000277	0.127833	0.000035
закрытый	0.000277	0.116534	0.000032
закуски	0.004978	0.040822	0.000203
закуску	0.000830	0.116534	0.000097
закусончик	0.000277	0.116534	0.000032
закусочка	0.000277	0.116534	0.000032
закусочные	0.002489	0.116534	0.000290
закусочный	0.000277	2.120264	0.000586
заламинировать	0.000277	2.407946	0.000666
заливное	0.000553	0.040822	0.000023
замеса	0.000277	2.659260	0.000735
замечательные	0.000277	2.207275	0.000610
заморозка	0.000277	0.105361	0.000029
запад	0.000277	0.116534	0.000032
запекания	0.000277	1.560648	0.000432
запеканка	0.001106	0.105361	0.000117
запеканки	0.001936	0.040822	0.000079
заправка	0.000553	0.040822	0.000023
заранее	0.000277	1.660731	0.000459
зарегистрировавшись	0.000277	0.040822	0.000011
зарегистрироваться	0.000277	0.030459	0.000008
засолка	0.000277	0.116534	0.000032
захочется	0.000277	3.506558	0.000970
зачастую	0.000277	4.605170	0.001274
заявляю	0.000277	2.207275	0.000610
званый	0.000277	0.127833	0.000035
звезда	0.000277	0.127833	0.000035
звёздные	0.000277	0.116534	0.000032
здоровое	0.000277	0.116534	0.000032
здоровый	0.000277	0.116534	0.000032
зелень	0.000830	0.094311	0.000078
зеленью	0.000277	2.525729	0.000698
зефир	0.000277	0.040822	0.000011
зимние	0.000277	0.051293	0.000014
зиму	0.001106	0.040822	0.000045
знаю	0.001383	0.755023	0.001044
золотая	0.000277	0.116534	0.000032
зря	0.000277	3.506558	0.000970
зять	0.000277	3.912023	0.001082
иванова	0.000277	0.127833	0.000035
идеальная	0.000277	0.116534	0.000032
идеально	0.000277	1.514128	0.000419
идеального	0.001383	0.116534	0.000161
идеальное	0.000277	0.116534	0.000032
идейки	0.000277	0.116534	0.000032
известный	0.000277	1.897120	0.000525
изделия	0.004978	0.116534	0.000580
изделиями	0.000830	0.116534	0.000097
икра	0.000830	0.040822	0.000034
имеет	0.000277	1.832581	0.000507
именем	0.000277	0.040822	0.000011
ими	0.000277	1.832581	0.000507
иначе	0.000277	1.897120	0.000525
инверторной	0.000277	0.127833	0.000035
ингредиентам	0.000277	1.469676	0.000406
ингредиентов	0.000277	1.771957	0.000490
ингредиенты	0.009403	0.139262	0.001309
индейки	0.001383	0.094311	0.000130
индейкой	0.000277	0.116534	0.000032
индийская	0.000277	0.116534	0.000032
индилайт	0.000830	0.116534	0.000097
индиресные	0.000277	0.116534	0.000032
иногда	0.000277	1.897120	0.000525
инструкциями	0.000277	0.040822	0.000011
интернете	0.000277	1.309333	0.000362
иракская	0.000277	0.116534	0.000032
иранская	0.000277	0.116534	0.000032
иринка	0.000277	4.605170	0.001274
ирландская	0.000277	0.116534	0.000032
иррез	0.000277	1.347074	0.000373
искать	0.000277	3.506558	0.000970
исключить	0.000277	1.469676	0.000406
искренне	0.000277	0.116534	0.000032
исландская	0.000277	0.116534	0.000032
испанская	0.000277	0.116534	0.000032
испеки	0.000277	0.116534	0.000032
испечь	0.000277	1.966113	0.000544
испытывая	0.000277	2.407946	0.000666
истории	0.001383	0.116534	0.000161
историю	0.000277	0.116534	0.000032
италии	0.000553	0.105361	0.000058
итальянская	0.000277	0.116534	0.000032
ищут	0.000277	1.609438	0.000445
июля	0.000553	0.597837	0.000331
июня	0.000830	0.579818	0.000481
йогурт	0.000830	0.040822	0.000034
йорк	0.000277	2.407946	0.000666
кабачки	0.000277	0.040822	0.000011
кавказская	0.000277	0.116534	0.000032
казалось	0.000277	1.609438	0.000445
казане	0.000277	0.116534	0.000032
казахская	0.000277	0.116534	0.000032
какао	0.001106	0.040822	0.000045
калейдоскоп	0.001106	0.116534	0.000129
калмыцкая	0.000277	0.116534	0.000032
кальмар	0.000277	0.040822	0.000011
камера	0.000277	0.116534	0.000032
канадская	0.000277	0.116534	0.000032
канал	0.000553	0.040822	0.000023
канале	0.000277	0.040822	0.000011
канапе	0.000553	0.040822	0.000023
капуста	0.001659	0.040822	0.000068
капустный	0.000553	2.302585	0.001274
капустняк	0.000277	0.040822	0.000011
капустой	0.000553	1.966113	0.001087
капусты	0.000277	0.040822	0.000011
карамель	0.000277	0.040822	0.000011
каркасный	0.001106	0.116534	0.000129
картофель	0.001106	0.040822	0.000045
картофельное	0.000553	0.040822	0.000023
картофельный	0.000277	0.116534	0.000032
картошка	0.001106	0.040822	0.000045
картошкой	0.000277	2.302585	0.000637
категории	0.000553	0.116534	0.000064
категория	0.004148	0.150823	0.000626
качество	0.000277	0.116534	0.000032
каша	0.000553	0.040822	0.000023
каши	0.001383	0.105361	0.000146
кашу	0.000277	0.094311	0.000026
квас	0.000830	0.040822	0.000034
квасное	0.000830	0.116534	0.000097
квасом	0.000277	0.127833	0.000035
кекс	0.000277	0.040822	0.000011
кексы	0.000553	0.116534	0.000064
кефир	0.000830	0.040822	0.000034
кимчи	0.000277	0.040822	0.000011
киноа	0.000553	0.127833	0.000071
кинолента	0.000277	0.116534	0.000032
кисель	0.000553	0.040822	0.000023
китайская	0.000277	0.116534	0.000032
класс	0.002212	0.116534	0.000258
классы	0.000277	0.116534	0.000032
клон	0.000277	4.605170	0.001274
книгу	0.000553	0.040822	0.000023
коктейли	0.000277	0.127833	0.000035
коктейль	0.001383	0.040822	0.000056
коламбус	0.000277	4.605170	0.001274
колбаса	0.000277	0.040822	0.000011
колбасными	0.000830	0.116534	0.000097
команда	0.000553	0.127833	0.000071
коми	0.000277	0.116534	0.000032
комментариев	0.000277	0.223144	0.000062
компаний	0.000277	0.105361	0.000029
компот	0.000830	0.040822	0.000034
конечно	0.000553	0.527633	0.000292
конины	0.000277	0.116534	0.000032
конкурс	0.059181	0.105361	0.006235
конкурса	0.000277	0.116534	0.000032
конкурсах	0.000277	0.040822	0.000011
конкурсные	0.000277	0.127833	0.000035
консервирование	0.000277	0.040822	0.000011
консервированная	0.000277	0.116534	0.000032
консервированное	0.000277	0.116534	0.000032
консервированные	0.000553	0.116534	0.000064
консервированный	0.000277	0.116534	0.000032
конфетти	0.000277	0.116534	0.000032
конфеты	0.000830	0.040822	0.000034
конфиденциальности	0.000277	0.040822	0.000011
конфитюр	0.000277	0.040822	0.000011
коньяк	0.000553	2.207275	0.001221
копченостями	0.000277	0.116534	0.000032
корейская	0.000277	0.116534	0.000032
корейски	0.000277	0.040822	0.000011
корж	0.000277	2.302585	0.000637
коржики	0.000277	0.040822	0.000011
корица	0.000553	1.427116	0.000789
коричневый	0.000553	1.386294	0.000767
кормящих	0.000277	0.116534	0.000032
корнуэльский	0.000277	2.525729	0.000698
корочкой	0.000553	1.771957	0.000980
котлеты	0.000277	0.040822	0.000011
которому	0.000277	0.116534	0.000032
кофе	0.000553	0.040822	0.000023
красавец	0.000277	2.659260	0.000735
краски	0.000277	0.116534	0.000032
креатив	0.000277	0.127833	0.000035
крем	0.000277	0.040822	0.000011
крема	0.000553	0.116534	0.000064
крепкий	0.000277	0.116534	0.000032
критиковать	0.000277	3.506558	0.000970
кролика	0.000553	0.116534	0.000064
кроме	0.000277	0.061875	0.000017
крохи	0.000277	0.116534	0.000032
кругу	0.000553	0.116534	0.000064
круп	0.001659	0.116534	0.000193
крупа	0.000277	0.127833	0.000035
крупы	0.000553	0.127833	0.000071
крупяные	0.000277	0.116534	0.000032
